,SupplierID,CompanyName,Address,City,PostalCode,Country
0,1,General Goods,Auf dem Bruch 82a,Süd Leana,72121,Germany
1,2,Sweets and Drinks,"Theodor-Gierath-Str. 1, Apt. 981",Paeslerdorf,38773,Germany
2,3,Atlantic Fish Co,"03517 Legros Mountain, Suite 808",New Augustus,MA67 7IB,Great Britain
3,4,Ovation Seafood,"24115 Metz Lane, Apt. 172",Leannaport,PN97 7MI,Great Britain
4,5,Variety Seafood,"Perssons Väg 417, Lgh. 285",Götetuna,11465,Sweden
5,6,Seafood Creations,"Juliaplein 762, 3 hoog achter",Pannerden aan de IJssel,6696 UO,Netherlands
6,7,Wicked Seafood,"Vedviks Gate 85, Leil. 287",Stavsund,2329,Norway
7,8,Seafood Sales,"Nygårds Vei 4, Oppgang A",Høyeid,5925,Norway
8,9,Chord Seafood,"Skolgatan 05, Lgh. 631",Botorp,56594,Sweden
9,10,Plus Seafood,Södra Björkgränden 3,Helsingås,92907,Sweden
